sep=,
621,alarms and discursions,G.K. Chesterton,1911,Gilbert Keith Chesterton,9656
285,the wisdom of father brown,G.K. Chesterton,1914,G. K. Chesterton,223
482,the napoleon of notting hill,G.K. Chesterton,1904,Gilbert K. Chesterton,20058
488,all things considered,G.K. Chesterton,1908,G. K. Chesterton,11505
585,the defendant,G.K. Chesterton,1901,G.K. Chesterton,12245
98,the innocence of father brown,G.K. Chesterton,1911,G. K. Chesterton,204
854,the man who knew too much,G.K. Chesterton,1922,G. K. Chesterton,1720
407,the mystery of the yellow room,Gaston Leroux,1908,Gaston Leroux,1685
355,the phantom of the opera,Gaston Leroux,1910,Gaston Leroux,175
152,a girl of the limberlost,Gene Stratton-Porter,1909,Gene Stratton-Porter,125
335,freckles,Gene Stratton-Porter,1904,Gene Stratton-Porter,111
595,major barbara,George Bernard Shaw,1905,George Bernard Shaw,3790
624,man and superman,George Bernard Shaw,1903,George Bernard Shaw,3328
108,pygmalion,George Bernard Shaw,1912,George Bernard Shaw,3825
755,candida,George Bernard Shaw,1934,George Bernard Shaw,4023
359,romola,George Eliot,1863,George Eliot,24020
64,silas marner,George Eliot,1861,George Eliot,550
322,daniel deronda,George Eliot,1876,George Eliot,7469
194,the mill on the floss,George Eliot,1860,George Eliot,6688
65,middlemarch,George Eliot,1871,George Eliot,145
503,the odd women,George Gissing,1893,George Gissing,4313
321,childe harold's pilgrimage,George Gordon Byron,1812,Lord Byron,5131
564,the light princess and other fairy stories,George MacDonald,1864,George MacDonald,18811
543,lilith,George MacDonald,1895,George MacDonald,1640
516,the princess and the goblin,George MacDonald,1872,George MacDonald,708
518,at the back of the north wind,George MacDonald,1871,George MacDonald,225
484,the light princess,George MacDonald,1864,George MacDonald,697
271,phantastes,George MacDonald,1858,George MacDonald,325
638,the golden key,George MacDonald,1867,Mrs. Georgie Sheldon,50909
687,esther waters,George Moore,2001,George Moore,8157
471,1984,George Orwell,1949,George Orwell,1984
242,trilby,George du Maurier,1894,George Du Maurier,39858
685,escal-vigor,Georges Eekhoud,1899,Georges Eekhoud,15844
686,bruges-la-morte,Georges Rodenbach,1892,Georges Rodenbach,14911
351,the black moth,Georgette Heyer,1921,Georgette Heyer,38703
545,three lives,Gertrude Stein,2011,Gertrude Stein,15408
680,nathan der weise,Gotthold Ephraim Lessing,1779,Gotthold Epraim Lessing,9186
40,madame bovary,Gustave Flaubert,1856,Gustave Flaubert,2413
762,bouvard and pecuchet,Gustave Flaubert,1881,Gustave Flaubert,25014
510,grimm tales made gay,Guy Wetmore Carryl,1902,Guy Wetmore Carryl,23024
908,omnilingual,H. Beam Piper,1957,H. Beam Piper,19445
570,police operation,H. Beam Piper,1948,H. Beam Piper,19067
512,little fuzzy,H. Beam Piper,1962,Henry Beam Piper,18137
490,the people of the mist,H. Rider Haggard,1894,H. Rider Haggard,6769
77,king solomon's mines,H. Rider Haggard,1885,H. Rider Haggard,2166
270,she,H. Rider Haggard,1886,H. Rider Haggard,3155
911,morning star,H. Rider Haggard,1910,H. Rider Haggard,2722
8,the time machine,H.G. Wells,1895,H. G. Wells,35
640,the food of the gods,H.G. Wells,1904,Brandon Head,16035
483,the door in the wall and other stories,H.G. Wells,1911,H. G. Wells,456
17,the war of the worlds,H.G. Wells,1898,H. G. Wells,36
235,the first men in the moon,H.G. Wells,1901,H. G. Wells,1013
60,the invisible man,H.G. Wells,1897,H. G. Wells,5230
243,the shunned house,H.P. Lovecraft,1937,Howard Phillips Lovecraft,31469
145,uncle tom's cabin,Harriet Beecher Stowe,1852,Harriet Beecher Stowe,203
664,astounding stories february 1931,Harry Bates,2009,Various,30124
641,astounding stories of super-science january 1931,Harry Bates,2011,Various,30177
588,a pirate of the caribbees,Harry Collingwood,2007,Harry Collingwood,21073
398,planet of the damned,Harry Harrison,1962,Harry Harrison,21873
551,der struwwelpeter,Heinrich Hoffmann,1845,Heinrich Hoffmann,24571
700,ramona,Helen Hunt Jackson,2002,Helen Hunt Jackson,2802
790,an enemy of the people,Henrik Ibsen,1882,Henrik Ibsen,2446
797,ghosts,Henrik Ibsen,1881,Henrik Ibsen,8121
114,hedda gabler,Henrik Ibsen,1890,Henrik Ibsen,4093
521,a doll's house,Henrik Ibsen,1879,Henrik Ibsen,2542
186,walking,Henry David Thoreau,1862,Henry David Thoreau,1022
201,the history of tom jones a foundling,Henry Fielding,1749,Henry Fielding,6593
902,amelia,Henry Fielding,1751,Henry Fielding,6098
118,the ambassadors,Henry James,1903,Henry James,432
277,the american,Henry James,1877,Henry James,177
342,washington square,Henry James,1880,Henry James,2870
180,what maisie knew,Henry James,1897,Henry James,7118
502,daisy miller,Henry James,1878,Henry James,208
709,embarrassments,Henry James,1896,Henry James,21932
29,the turn of the screw,Henry James,1898,Henry James,209
698,the man of feeling,Henry MacKenzie,1771,Henry Mackenzie,5083
606,the buddhist catechism,Henry Steel Olcott,1881,Henry S. Olcott,30216
944,the mansion,Henry Van Dyke,1887,Henry Van Dyke,704
