The Grandeur That Was Rome,J.C. Stobart                             ,56747
Airplane Boys at Platinum River,Edith Janice Craine,56746
Puer romanus,Reginald Bainbridge Appleton,56744
Larry Dexter and the Stolen Boy,Howard R. Garis,56743
"Harper's Young People, April 11, 1882",Various,56741
Sewage Disposal Works,W. C. Easdale,56735
A Manual of Ancient History,M. E. Thalheimer,56734
A Vagabond Journey Around the World,Harry Alverson Franck,56732
Tony The Tramp,Horatio Alger,56730
A Modern Purgatory,Carlo de Fornaro,56728
The Irish Crisis,C. E. Trevelyan,56727
"Harper's Round Table, April 7, 1896",Various,56726
An Everyday Girl,Amy E. Blanchard,56725
Home Scenes and Heart Studies,Grace Aguilar,56722
On Mr. Spencer's Data of Ethics,Malcolm Guthrie,56721
Lanagan,Edward H. Hurlbut,56720
Mimi's Marriage,Lidia Ivanovna Veselitskaya,56719
Catty Atkins Sailorman,Clarence Budington Kelland,56718
Members of the Family,Owen Wister                                   ,56717
Dick Lester of Kurrajong,Mary Grant Bruce,56714
The Comic Poems of Thomas Hood,Thomas Hood                          ,56712
Venomous Arthropod Handbook,Terry L. Biery,56710
Texas in the Civil War,Allan C. Ashcroft,56709
Bertrand of Brittany,Warwick Deeping,56707
Mrs. Essington,Esther Chamberlain and Lucia Chamberlain,56705
Sanctuary,Percy MacKaye,56704
Ketchup,A. W. Bitting and K. G. Bitting,56703
The Story of The Woman's Party,Inez Haynes Irwin,56701
Mormon Doctrine Plain and Simple,Charles W. Penrose,56700
The Stone Axe of Burkamukk,Mary Grant Bruce,56699
The Latter-Day Prophet,George Q. Cannon,56698
A Little Book of Bores,Oliver Herford,56697
Arqtiq,Anna Adolph,56696
The Radio Boys with the Border Patrol,Gerald Breckinridge,56695
Five Little Bush Girls,E. Lee Ryan,56694
The Boy in the Bush,Richard Rowe,56693
Editha's Burglar,Frances Hodgson Burnett,56692
Saturday Night Thoughts,Orson F. Whitney,56691
Adventures of the Teenie Weenies,William Donahey,56690
Handbook of Railroad Construction,George L. Vose,56688
Mr. Durant of Salt Lake City,Ben E. Rich,56685
The Lectures on Faith,Various,56684
The Shaggy Man of Oz,Jack Snow,56683
Kora in Hell: Improvisations,William Carlos Williams                ,56681
A Text-book of Paper-making,C. F. Cross and E. J. Bevan,56679
Turgenev in English:,Rissa Yachnin and David H. Stam,56678
"Harper's Young People, April 4, 1882",Various,56677
The Buried Treasure,Harry Castlemon,56676
The Attic Guest,Robert E. Knowles,56675
Vagabonding down the Andes,Harry Alverson Franck,56673
The Last Three Soldiers,William Henry Shelton,56671
Tales and Stories,Mary Wollstonecraft Shelley,56665
Honeycomb,Dorothy M. Richardson,56664
Joseph Priestley,Thomas Edward Thorpe,56663
Hacking Through Belgium,Edmund Dane,56661
You're on the Air,William Heyliger,56660
Idle Hours in a Library,William Henry Hudson,56659
Danny Again,Vera C. Barclay,56658
Life in the Soudan,Josiah Williams,56657
The German Fleet,Archibald Hurd,56653
Kitty of the Roses,Ralph Henry Barbour,56652
Primus Annus,Walter Lionel Paine and Cyril Lyttleton Mainwaring,56651
Paganism Surviving in Christianity,Abram Herbert Lewis,56650
Bulfinch's Mythology,Thomas Bulfinch,56644
"Harper's Round Table, March 31, 1896",Various,56642
