title,author,number
"Zincali, Gypsies of Spai",George Borrow,565
The Mystery of Edwin Drood,Charles Dickens,564
The Planet Mars and its Inhabitants,"('Eros Urides', 'J. L. Kennon')",563
The Go Ahead Boys and the Racing Motorboat,Ross Kay,562
The Further Adventures of Robinson Crusoe,Daniel Defoe,561
Mr. Standfast,John Buchan,560
Greenmantle,John Buchan,559
The Thirty-nine Steps,John Buchan,558
Puck of Pook\'s Hill,Rudyard Kipling,557
Rewards and Fairies,Rudyard Kipling,556
The Unbearable Bassington,Saki,555
The Contrast,Royall Tyler,554
Out of Time\'s ,"ss,",NaN
The People That Time Forgot,Edgar Rice Burroughs,552
The Land That Time Forgot,Edgar Rice Burroughs,551
Silas Marner,George Eliot,550
The Underdogs,Mariano Azuela,549
Project Trinity 1945-1946,"('Carl Maag', 'Steve Rohrer')",548
"Baron Trigault\'s Vengeance, Vol. 2 of 2",Emile Gaboriau,547
Under the Andes,Rex Stout,546
At the Earth\'s Core,Edgar Rice Burroughs,545
Anne\'s House of Dreams,Lucy Maud Montgomery,544
Main Street,Sinclair Lewis,543
The Life of Me,Clarence Edgar Johnson 542C,NaN
The Age of Innocence,Edith Wharton,541
The Red Fairy Book,Various,540
Biographical Study of A. W. Kinglake,Rev. W. Tuckwell,539
Jean of the Lazy A,B. M. Bower,538
Tales of Terror and Mystery,Arthur Conan Doyle,537
A Footnote to History,Robert Louis Stevenson,536
Travels with a Donkey in the Cevennes,Robert Louis Stevenson,535
An Inland Voyage,Robert Louis Stevenson,534
The Song of the Cardinal,Gene Stratton-Porter,533
At the Foot of the Rainbow,Gene Stratton-Porter,532
"The Gaming Table, Vol. 2",Andrew Steinmetz,531
Driven From Home,Horatio Alger,530
Knights of Art,Amy Steedman,529
Joe The Hotel Boy,Horatio Alger Jr,528
End of the Tether,Joseph Conrad,527
Heart of Darkness,Joseph Conrad,526
Youth,Joseph Conrad,525
Ann Veronica,H. G. Wells,524
Court Life in China,Isaac Taylor Headland,523
The Chinese Boy and Girl,Isaac Taylor Headland,522
Robinson Crusoe,Daniel Defoe,521
The Life and Adventures of Santa Claus,L. Frank Baum,520
A Kidnapped Santa Claus,L. Frank Baum,519
The Enchanted Island of Yew,L. Frank Baum,518
The Emerald City of Oz,L. Frank Baum,517
The Silverado Squatters,Robert Louis Stevenson,516
"Margret Howth, A Story of To-day",Rebecca Harding Davis,515
Little Women,Louisa May Alcott,514
The Snow Image and Other Stories,Nathaniel Hawthorne,513
Mosses from an Old Manse and Other Stories,Nathaniel Hawthorne,512
"The Purcell Papers, Vol. 3 of 3",Joseph Sheridan Le Fanu,511
"The Purcell Papers, Vol. 2 of 3",Joseph Sheridan Le Fanu,510
"The Purcell Papers, Vol. 1 of 3",Joseph Sheridan Le Fanu,509
Twice-Told Tales,Nathaniel Hawthorne,508
Adam Bede,George Eliot,507
The Shuttle,Frances Hodgson Burnett,506
"History of the Warfare of Science with Theology in Christendom,            505\r\",Andrew Dickson White,NaN
"The Fifth String, The Conspirators",John Philip Sousa,504
The Blue Fairy Book,Andrew Lang,503
Desert Gold,Zane Grey,502
The Story of Doctor Dolittle,Hugh Lofting,501
Adventures of Pinocchio,C. Collodi,500
Tom Swift in the Land of Wonders,Victor Appleton,499
Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,498
Tracks of a Rolling Stone,Henry J. Coke,497
The Little Lame Prince,Miss Mulock (Pseud. of Maria Dinah Craik),496
Amy Foster,Joseph Conrad,495
To-morrow,Joseph Conrad,494
Falk,Joseph Conrad,493
Essays in the Art of Writing,Robert Louis Stevenson,492
Rezanov,Gertrude Atherton,491
Life and Adventures of Calamity Jane,Calamity Jane,490
One Basket,Edna Ferber,489
She Stands Accused,Victor MacClure,488
Songs of Trave,Robert Louis Stevenson,487
Ozma of Oz,L. Frank Baum,486
The Road to Oz,L. Frank Baum,485
Poor and Proud,Oliver Optic,484
The Conquest of Canaan,Booth Tarkington,483
The Woodlanders,Thomas Hardy,482
