title,author,number
Seven and Nine years Among the Camanches and Apaches,Edwin Eastman,27164
Suspended Judgments,John Cowper Powys,27163
A Little Country Girl,Susan Coolidge,27162
\'Our guy\',Mrs. E. E. Boyd,27161
Records of Woodhall Spa and Neighbourhood,J. Conway Walter,27160
Due amori,Salvatore Farina,27159
Il peccato di Loreta,Alberto Boccardi,27158
Historic Boys,Elbridge Streeter Brooks,27157
Fior di passione,Matilde Serao,27156
Infelizes,Ana de Castro Osorio,27155
"Fibble, D. D.",Irvin Shrewsbury Cobb,27154
Spare Hours,John Brown,27153
A Visit to Java,W. Basil Worsfold,27152
"Memoirs and Correspondence of Admiral Lord de Saumarez. Vol II,          27151\r\",Sir John Ross,NaN
Penny of Top Hill Trail,Belle Kanaris Maniates,27150
"Italian Harpsichord-Building in the 16th and 17th Centuries,             27149\r\",John D. Shortridge,NaN
Jiao She Pa,Ben Chan,27148
The Stretton Street Affair,William Le Queux,27147
Select Temperance Tracts,American Tract Society,27146
Tang Five Dynasties,Guanzhong Luo,27145
"Oeuvres complètes de lord Byron, Tome troisieme,                         27144\r\",Baron George Gordon Byron Byron,NaN
The Cavern of the Shining Ones,Hal K. Wells,27143
Contes D\'Andersen,Hans Christian Andersen,27142
"Adenoids: What They Are, How To Recognize Them,                          27141\r\n What To Do For Them",The United States Public Health Service,NaN
Kreivi ja karhuntanssittaja,Franz Hoffmann,27140
A Leaf from the Old Forest,J. D. Cossar,27139
"Mirror of Taste, and Dramatic Censor, Vol. I, No. 6, June 1810,          27138\r\",Various,NaN
The Scholfield Wool-Carding Machines,Grace L. Rogers,27137
Six Days on the Hurricane Deck of a Mule,Almira Stillwell Cole,27136
The Vaudois of Piedmont,John Napper Worsfold,27135
Histoire du Canada depuis sa découverte jusqu\'à nos jours.               27134\r\n Tome IV,François-Xavier Garneau,NaN
Histoire du Canada depuis sa découverte jusqu\'à nos jours.               27133\r\n Tome III,François-Xavier Garneau,NaN
Histoire du Canada depuis sa découverte jusqu\'à nos jours.               27132\r\n Tome II,François-Xavier Garneau,NaN
Histoire du Canada depuis sa découverte jusqu\'à nos jours.               27131\r\n Tome I,François-Xavier Garneau,NaN
A Pindarick Ode on Painting,Thomas Morrison,27130
Lyrics from the Song-Books of the Elizabethan Age,Various,27129
The No Breakfast Plan and the Fasting-Cure,Edward Hooker Dewey,27128
"The Philippine Islands, 1493-1898, Vol. 26",Various,27127
\'All\'s Well!\',John Oxenham,27126
The Splash of a Drop,A. M. Worthington,27125
De Negerhut,Harriet Beecher Stowe,27124
Shui Tiao Ge Tou,Shih Su,27123
Lao Xue An Bi Ji,You Lu,27122
Mi tio y mi cura,Jean de La Brète,27121
Litanaiit Liturgiillo,Anonymous,27120
Bi Mu Yu,Aiyuezhuren Aiyue,27119
"Mother Earth, Vol. 1 No. 2, April 1906",Various,27118
Tobacco in Colonial Virginia,Melvin Herndon,27117
When Winter Comes to Main Street,Grant Martin Overton,27116
The Cattle-Baron\'s Daughter,Harold Bindloss,27115
Ancient States and Empires,John Lord,27114
Narrative of a Voyage to India; of a Shipwreck on                        27113\r\n board the Lady Castlereagh; and a Description of\r\n New South Wales,W. B. Cramp,NaN
Children\'s Books and Their Illustrators,Gleeson White,27112
First History of New Brunswick,Peter Fisher,27111
The Eternal Wall,Raymond Zinke Gallun,27110
"Mirror of Taste, and Dramatic Censor, Vol. I, No. 5, May 1810,           27109\r\",Various,NaN
Hsing Meng Pien Yen,Hsi Tzu Chu,27108
Chin Yun Chiao Chuan,Tsai Jen Ching Hsin,27107
Kinematics of Mechanisms from the Time of Watt,Eugene S. Ferguson,27106
Yu Zhi Ji,Zhu Ren Tian Hua Zang,27105
Gui Lian Meng,Zhu Ren Su An,27104
The Little Russian Servant,Henri Greville,27103
The Ground Plan of the English Parish Church,A. Hamilton Thompson,27102
Life of Rear Admiral John Randolph Tucker,James Henry Rochelle,27101
Historia de una parisiense,Octave Feuillet,27100
Reminiscences of Queensland,William Henry Corfield,27099
Technology and Books for All,Marie Lebert 27098C,NaN
The Boy Ranchers in Death Valley,Willard F. Baker,27097
The Boy Ranchers on Roaring River,Willard F. Baker,27096
The Boy Ranchers at Spur Creek,Willard F. Baker,27095
The Boy Ranchers in Camp,Willard F. Baker,27094
The Boy Ranchers,Willard F. Baker,27093
Gua Yi Zhi,Shi Zheng Zhang,27092
Falco della rupe,Giambattista Bazzoni,27091
Great Pirate Stories,Various,27090
The Risk Profession,Donald Edwin Westlake,27089
Nan Bu Xin Shu,Yi Qian,27088
Wu De Ji,Guang Wei Liu,27087
The Dodge Club,James De Mille,27086
Rootabaga Stories,Carl Sandburg,27085
"Noites de insomnia, offerecidas a quem não póde dormir.                  27084\r\n Nº5 (de 120",Camilo Castelo Branco,NaN
The Subjection of Women,John Stuart Mill,27083
Yang Jia Jiang Yan Yi,Da Mu Xiong,27082
Sonety Adama Mickiewicza,Adam Mickiewicz,27081
"G. K. Chesterton, A Critical Study",Julius West,27080
Jonah and Co.,Dornford Yates,27079
"Senate Resolution 6, 41st Congress, 1st Session",U.S. Senate,27078
Dangers of the Trail in 1865,Charles E. Young,27077
Drug Supplies in the American Revolution,George B. Griffenhagen,27076
Here and Now Story Book,Lucy Sprague Mitchell,27075
The Jealousy of le Barbouille,Jean Baptiste Poquelin de Moliere,27074
The Waxen Doll,Konstantinos Christomanos,27073
The Flying Doctor,Jean Baptiste Poquelin de Moliere,27072
The Third Miss Symons,Flora Macdonald Mayor,27071
Report of the Committee of Inquiry into the Various Aspects              27070\r\n of the Problem of Abortion in New Zealand,"David G. McMillan,",NaN
Sonnets from the Crimea,Adam Mickiewicz,27069
The Dead Command,Vicente Blasco Ibanez,27068
The Fixed Period,Anthony Trollope,27067
Making a Lawn,Luke Joseph Doogue,27066
A Manual: or an Easy Method of Managing Bees,John M. Weeks,27065
Dulce y sabrosa,Jacinto Octavio Picón,27064
The Hero,William Somerset Maugham,27063
Romeo i Julia,William Shakespeare,27062
The Rider of Waroona,Firth Scott,27061
Qing Lou Meng,Tao Zor,27060
Hu Dei Mei,Dao Ren Nan Yue,27059
The Indian Question (1874),Francis A. Walker,27058
Ireland and Poland,Thomas William Rolleston,27057
"Louis XIV., Makers of History Series",John S. C. Abbott,27056
"Punch, Vol. 147, September 2nd, 1914, ed",Sir Owen Seaman,27055
Sihteeri Lundbergin häät,"('Maximilian Axelson', 'S. Hirvonen')",27054
The Day Time Stopped Moving,Bradner Buckner,27053
Sunny Boy in the Big City,Ramy Allison White,27052
The Trail to Yesterday,Charles Alden Seltzer,27051
De Canibus Britannicis,John Caius,27050
Species Plantarum,Carolus Linnaeus,27049
Las tecnologías y el libro para todos,Marie Lebert 27048C,NaN
Les technologies et le livre pour tous,Marie Lebert 27047C,NaN
Le Projet Gutenberg (1971-2008),Marie Lebert 27046C,NaN
Project Gutenberg (1971-2008),Marie Lebert 27045C,NaN
Les mutations du livre,Marie Lebert 27044C,NaN
Le Dictionnaire du NEF,Marie Lebert 27043C,NaN
La Jérusalem médiévale,Marie Lebert 27042C,NaN
L\'art roman dans le Sud-Manche,Marie Lebert 27041C,NaN
Le Projet Gutenberg (1971-2005),Marie Lebert 27040C,NaN
Project Gutenberg (1971-2005),Marie Lebert 27039C,NaN
"Le Livre 010101, Tome 2 (1998-2003)",Marie Lebert 27038C,NaN
"Le Livre 010101, Tome 1 (1993-1998)",Marie Lebert 27037C,NaN
Le Livre 010101: Enquête,Marie Lebert 27036C,NaN
Entretiens / Interviews / Entrevistas,Marie Lebert 27035C,NaN
Entrevistas (1998-2001),Marie Lebert 27034C,NaN
Entretiens (1998-2001),Marie Lebert 27033C,NaN
Interviews (1998-2001),Marie Lebert 27032C,NaN
De l\'imprimé à Internet,Marie Lebert 27031C,NaN
From the Print Media to the Internet,Marie Lebert 27030C,NaN
Le multilinguisme sur le Web,Marie Lebert 27029C,NaN
Multilingualism on the Web,Marie Lebert 27028C,NaN
A Chronicle of London from 1089 to 1483,Anonymous,27027
Yan Yi Bian,Shi Zhen Wang,27026
Old Familiar Faces,Theodore Watts-Dunton,27025
The Path of Dreams,Leigh Gordon Giltner,27024
Bai Gui Zhi,"('Ling Fu', 'Xiang Chuan Cui')",27023
"A New Subspecies of the Black Myotis (Bat) from Eastern Mexico,          27022\r\","('E. Raymond Hall', 'Ticul Alvarez')",NaN
An Explorer\'s Adventures in Tibet,A. Henry Savage Landor,27021
"Blackwood\'s Edinburgh Magazine, Vol. 62, No. 382, October 1847,          27020\r\",Various,NaN
My Shipmate--Columbus,Stephen Wilder,27019
Point de lendemain,Dominique Vivant Denon,27018
Yin Wen Zi,Wen Yin,27017
Eight dwelling places of Buddhist immortals,Five colors stone,27016
More Science From an Easy Chair,Sir E. Ray (Edwin Ray) Lankester,27015
Trade and Travel in the Far East,G. F. Davidson,27014
Hellhounds of the Cosmos,Clifford Donald Simak,27013
"The Farmer Boy, and How He Became Commander-In-Chief,                    27012\r\",Morrison Heady,NaN
"Notes and Queries, Number 214, December 3, 1853",Various,27011
"Notes and Queries, Number 213, November 26, 1853",Various,27010
"Notes and Queries, Number 212, November 19, 1853",Various,27009
"Notes and Queries, Number 211, November 12, 1853",Various,27008
"Notes and Queries, Number 210, November 5, 1853",Various,27007
"Notes and Queries, Number 207, October 15, 1853",Various,27006
"Notes and Queries, Number 206, October 8, 1853",Various,27005
"Notes and Queries, Number 204, September 24, 1853",Various,27004
"Notes and Queries, Number 203, September 17, 1853",Various,27003
"Narrative of Richard Lee Mason in the Pioneer West, 1819,                27002\r\",Richard Lee Mason,NaN
Jewish Children,Sholem Naumovich Rabinovich,27001
What the Moon Saw: and Other Tales,Hans Christian Andersen,27000
Peter Pan in Kensington Gardens,J. M. Barrie,26999
Peter Pan in Kensington Gardens,J. M. Barrie,26998
Chao Ye Qian Zai,Zhuo Zhang,26997
"The American Missionary, Volume 50, No. 05, May, 1896",Various,26996
Montezuma\'s Castle and Other Weird Tales,Charles B. Cory,26995
When Life Was Young,C. A. Stephens,26994
The Copper Princess,Kirk Munroe,26993
The Wind Before the Dawn,Dell H. Munger,26992
A Short System of English Grammar,Henry Bate,26991
Holy in Christ,Andrew Murray,26990
"B. C. 30,000",Sterner St. Paul Meek,26989
Amor de Salvacao,Camilo Castelo Branco,26988
The Brown Mouse,Herbert Quick,26987
The Ghost Girl,H. De Vere Stacpoole,26986
Killykinick,Mary T. Waggaman,26985
Across the Mesa,Jarvis Hall,26984
Sangre y arena,Vicente Blasco Ibanez,26983
With Haig on the Somme,D. H. Parry,26982
Pan-Islam,George Wyman Bury,26981
Frank H. Nelson of Cincinnati,Warren C. Herrick,26980
Hai Dao Suan Jing,Hui Liu,26979
Salem Witchcraft and Cotton Mather,Charles W. Upham,26978
The Old Tobacco Shop,William Bowen,26977
Ahab Israelin kuningas,Alpo Noponen,26976
Chapters in Rural Progress,Kenyon L. Butterfield,26975
Prisoners Their Own Warders,"('J. F. A. McNair', 'W. D. Bayliss')",26974
Hester\'s Counterpart,Jean K. Baird,26973
Die Theorie des Romans,György Lukács,26972
Utopia,Thomas Morus,26971
Peng Kung An,Tao Jen Tan Meng,26970
"Punch, Vol. 147, August 19th, 1914, ed",Sir Owen Seaman,26969
Summer Snow Storm,Adam Chase,26968
The Coming of the Ice,G. Peyton Wertenbaker,26967
A Place in the Sun,C.H. Thames,26966
Heroes and Hunters of the West,Anonymous,26965
Briefe aus dem Gefängnis,Rosa Luxemburg,26964
"The Atlantic Monthly, Volume 18, No. 109, November, 1866",Various,26963
"Wilson\'s Tales of the Borders and of Scotland Volume 17,                 26962\r\",Alexander Leighton,NaN
Libro della divina dottrina,Caterina da Siena,26961
"Famous Privateersmen and Adventurers of the Sea,                         26960\r\",Charles H.L. Johnston,NaN
La Lastaj Tagoj de Dro L. L. Zamenhof,Unknown,26959
Captain Richard Ingle,Edward Ingle,26958
Star Mother,Robert F. Young,26957
Alien Offer,Al Sevcik,26956
Advanced Chemistry,Jack G. Huekels,26955
Mirror of Taste,"('', 'Dramatic Censor')",NaN
Jessie Carlton,Francis Forrester,26953
Eric,Mrs. S. B. C. Samuels,26952
\'Firebrand\' Trevison,Charles Alden Seltzer,26951
Humorous Ghost Stories,Dorothy Scarborough,26950
Vom Musikalisch-Schönen,Eduard Hanslick,26949
Modern Women and What is Said of Them,Anonymous,26948
La transformación de las razas en América,Agustín Alvarez,26947
"The Defence of Stonington (Connecticut) Against a British                26946\r\n Squadron, August 9th to 12th, 1814",J. Hammond Trumbull,NaN
"Lippincott\'s Magazine, December 1878",Various,26945
The Magic Soap Bubble,David Cory,26944
Le vaisseau fantôme,Richard Wagner,26943
The Beautiful,Vernon Lee,26942
Wanted--7 Fearless Engineers!,Warner Van Lorne,26941
Atalantis Major,Daniel Defoe,26940
Richard I,Jacob Abbott,26939
"Esoteric Christianity, or The Lesser Mysteries",Annie Besant,26938
Syllabus of Kentucky Folk-Songs,Hubert G. Shearin,26937
The Gallery,Roger Phillips Graham,26936
Conservation Reader,Harold W. Fairbanks,26935
Shawn of Skarrow,James Tandy Ellis,26934
Visions and Revisions,John Cowper Powys,26933
Zhi Shi Yu Wen,Hong Mo Chen,26932
Feng Yueh Meng,Meng Jen Han Shang,26931
Over the top with the 25th,R. Lewis,26930
Cuentos de mi tiempo,Jacinto Octavio Picón,26929
Ladies-In-Waiting,Kate Douglas Wiggin,26928
Opiksi ja huviksi,Yrjö Sakari Yrjö-Koskinen,26927
Riita-asia,R. Benedix,26926
The Bradys Beyond Their Depth,Anonymous,26925
Flash-lights from the Seven Seas,William L. Stidger,26924
Emergency Childbirth,The U. S. Department of Defense,26923
Spring Willow Warbler,Her Crown Shi Zhe,26922
Yin Fong Siao,Banyunyeou Fongjiang,26921
Yan Tie Lun,Kuan Huan,26920
The New Education,Scott Nearing,26919
Spectra,"('Arthur Ficke', 'Witter Bynner')",26918
Zehru of Xollar,Hal K. Wells,26917
Song-waves,Theodore H. Rand,26916
A Guerra,Jaime de Magalhães Lima,26915
Do que o fogo não queima,Jaime de Magalhães Lima,26914
O Assassino de Macario,Camilo Castelo Branco,26913
Report of the Juvenile Delinquency Committee,Ronald Macmillan Algie,26912
Crooked Trails and Straight,William MacLeod Raine,26911
"Stories of Authors, British and American",Edwin Watts Chubb,26910
Historical Introductions to the Symbolical Books                         26909\r\n of the Evangelical Lutheran Church,Friedrich Bente,NaN
"Conversations on Chemistry, Vol. 1-2",Jane Marcet,26908
The Cornwall Coast,Arthur L. Salmon,26907
The Jameson Satellite,Neil Ronald Jones,26906
Northern Lights,Gilbert Parker,26905
Tian Bao Tu,Unknown,26904
Determining the Age of Cattl,"the Teeth,",NaN
The Rover Boys in Alaska,Arthur M. Winfield,26902
"A History of the Nineteenth Century, Yea","Year,",NaN
"Report of the Lords Commissioners for Trade and Plantations              26900\r\n on the Petition of the Honourable Thomas Walpole, Benjamin\r\n Franklin, John Sargent and Samuel Wharton, Esquires, and\r\n their Associates; 1772",the Great Britain Board of Trade,NaN
"Notes and Queries, Number 79, May 3, 1851",Various,26899
"Notes and Queries, Number 78, April 26, 1851",Various,26898
"Notes and Queries, Number 77, April 19, 1851",Various,26897
"Notes and Queries, Number 76, April 12, 1851",Various,26896
The Associate Hermits,Frank R. Stockton,26895
A fond de cale,Mayne Reid,26894
The New Avatar and The Destiny of the Soul,Jirah D. Buck,26893
Chasing an Iron Horse,Edward Robins,26892
L\'eau profonde,Paul Bourget,26891
The Rat Racket,David Henry Keller,26890
The Pools of Silence,H. de Vere Stacpoole,26889
Bencao Beiyao,Ang Wang,26888
Cheng shih,Ke Yue,26887
Liang Gong Jiu Jian,Unknown,26886
The Looking-Glass for the Mind,M. Berquin,26885
The Backwash of War,Ellen N. La Motte,26884
The Sword and the Atopen,Taylor H. Greenfield,26883
"Omega, the Man",Lowell Howard Morrow,26882
The Gospel of Luke,Charles R. Erdman,26881
The Bronze Age in Ireland,George Coffey,26880
Night Bombing with the Bedouins,Robert Henry Reece,26879
The Repairing & Restoration of Violins,Horace Petherick,26878
Zhen Zhu Bo,Yuan Hu Yan Shui San Ren,26877
Wen Tzu,Unknown,26876
The Boy Scout Fire Fighters,Robert Maitland,26875
Rock of Ages,A. M. Toplady,26874
Long Chuan Ci,Liang Chen,26873
Hai Shang Hua Lie Zhuan,Bangqing Han,26872
Fenzhuanglou Quanchuan,Guanzhong Luo,26871
On the uncertainty of the signs of murder in                             26870\r\n the case of bastard children,William Hunter,NaN
The Tale of Lal,Raymond Paton,26869
La femme et le pantin,Pierre Louÿs,26868
John Jones\'s Dollar,Harry Stephen Keeler,26867
Le monete dei possedimenti veneziani di oltremare e di terraferma        26866\r\n descritte ed illustrate da Vincenzo Lazari,Vincenzo Lazari,NaN
The Corsair King,Mor Jokai,26865
Poems for Pale People,Edwin C. Ranck,26864
Nelida,Daniel Stern,26863
Howard Pyle\'s Book of Pirates,Howard I. Pyle,26862
"The Temple of Nature; or, the Origin of Society",Erasmus Darwin,26861
"Lives of the Most Eminent Painters, Sculptors and Architects,            26860\r\",Giorgio Vasari,NaN
Histoire de France 1724-1759,Jules Michelet,26859
"Crossing the Plains, Days of \'57",William Audley Maxwell,26858
Christopher and the Clockmakers,Sara Ware Bassett,26857
Solander\'s Radio Tomb,Ellis Parker Butler,26856
Hard Guy,H. B. Carleton,26855
The Trembling of a Leaf,William Somerset Maugham,26854
Vice Versa,F. Anstey,26853
The Blue Germ,Martin Swayne,26852
Tom Brown at Oxford,Thomas Hughes,26851
Viriatho,Teófilo Fernandes Braga,26850
The Works of Mr. George Gillespie,George Gillespie,26849
Newton: Poema,José Agostinho de Macedo,26848
A Pessimist,Robert Timsol,26847
Iets over de gramaticale beoefening der Friesche taal in                 26846\r\n  haar geheelen omvang,Albertus Telting,NaN
Incertidumbre,Hermine Lecomte Du Noüy,26845
Borneo and the Indian Archipelago,Frank S. Marryat,26844
The Dope on Mars,John Michael Sharkey,26843
The Sense of Beauty,George Santayana,26842
Successful Stock Speculation,John James Butler,26841
Tin Foil and Its Combinations for Filling Teeth,Henry L. Ambler,26840
Mathematical Recreations and Essays,W. W. Rouse Ball,26839
"A History of the French Novel, Vol. 1",George Saintsbury,26838
Love--Marriage--Birth Control,Bertrand Dawson,26837
Cases of Organic Diseases of the Heart,John Collins Warren,26836
Where the Souls of Men are Calling,"('Credo Harris', 'John R. Neill')",26835
"The Nightingale, the Valkyrie and Raven, translate",George Borrow,26834
"Niels Ebbesen and Germand Gladenswayne, translate",George Borrow,26833
"Marsk Stig\'s Daughters, translate",George Borrow,26832
"Marsk Stig, translate",George Borrow,26831
"The Old Helmet, Volume II",Susan Warner,26830
"The Old Helmet, Volume I",Susan Warner,26829
A Red Wallflower,Susan Warner,26828
Petite Mère,Elise-Françoise-Louise de Plessis-Gouret,26827
La Demoiselle au Bois Dormant,B. de Buxy,26826
Valérie,Mme de Krudener,26825
Histoire de S,"lle,",NaN
Michel Strogoff,"('Jules Verne', ""A. D\\'Ennery"")",26823
La Pupille,Christophe-Barthelemi Fagan,26822
La petite comtesse,Octave Feuillet,26821
Ourika,Madame de Duras,26820
Caroline de Lichtfield,Madame de Montolieu,26819
Lettres écrites de Lausanne,Madame de Charrière,26818
Julia de Trécoeur,Octave Feuillet,26817
Le roman d\'un jeune homme pauvre (Play),Octave Feuillet,26816
Le Roman d\'un jeune homme pauvre (Novel),Octave Feuillet,26815
Edouard,Madame de Duras,26814
La destinée,Lucie des Ages,26813
Un coeur simple,Gustave Flaubert,26812
Claire d\'Albe,Sophie Cottin,26811
L\'amour et la raison,Charles-Antoine-Guillaume Pigault de l\'Epinoy,26810
Le Rideau levé,comte de Honoré-Gabriel de Riquetti Mirabeau,26809
Ma conversion,comte de Honoré-Gabriel de Riquetti Mirabeau,26808
Hic et Hec,comte de Honoré-Gabriel de Riquetti Mirabeau,26807
Gamiani,Alfred de Musset,26806
"Little Engel, translate",George Borrow,26805
L\'Anti-Justine,Nicolas-Edme Restif de la Bretonne,26804
"King Hacon\'s Death, translate",George Borrow,26803
"King Diderik, translate",George Borrow,26802
Village Improvements and Farm Villages,George E. Waring,26801
Hortus Vitae,Violet Paget,26800
Narrative of the Captivity of William Biggs,William Biggs,26799
The Genus Pinus,George Russell Shaw,26798
Something Else Again,Franklin P. Adams,26797
No Sect in Heaven,Anonymous,26796
Get Out of Our Skies!,E. K. Jarvis,26795
"The American Missionary, Vol. 49, No. 2, February, 1895",Various,26794
"The Expedition to Birting\'s Land, translate",George Borrow,26793
"Grimmer and Kamper, translate",George Borrow,26792
"Ermeline, translate",George Borrow,26791
"The Brother Avenged, translate",George Borrow,26790
"Emelian the Fool, translate",George Borrow,26789
"Brown William, translate",George Borrow,26788
"Alf the Freebooter, translate",George Borrow,26787
Pompeijin viimeiset päivät,Edward Bulwer-Lytton,26786
Modern British Poetry,Various,26785
Iphigeneia at Aulis,Euripides,26784
The Story of the Kearsarge and Alabama,A. K. Browne,26783
It Could Be Anything,John Keith Laumer,26782
"Letters on the Nicobar islands, their natural productions,               26781\r\n and the manners, customs, and superstitions of the natives,\r\",John Gottfried Haensel,NaN
Petite légende dorée de la Haute-Bretagne,Paul Sébillot,26780
The Ghost,William D. O\'Connor,26779
The Ocean Wireless Boys And The Wireless Code,Captain Wilbur Lawton,26778
A Revolução Portugueza: O 5 de Outubro (Lisboa 1910),Jorge de Abreu,26777
Philosophia da natureza dos naturalistas,Antero de Quental,26776
Lewis and Clark,William R. Lighton,26775
"Alcohol: A Dangerous and Unnecessary Medicine, How and Why,              26774\r\",Martha M. Allen,NaN
Honkakannel 1,Es. Paavo-Kallio,26773
A Question of Courage,Jesse Franklin Bone,26772
Thespis,Carlos-Octavio Bunge,26771
"Notes and Queries, Index of Vol. 3, Jan-Jun, 1851",Various,26770
"Punch, Vol. 104, May 20, 1893, ed",Sir Francis Burnand,26769
Ringfield,Susie Frances Harrison,26768
"Notes and Queries, Number 208, October 22, 1853",Various,26767
Henri VIII,William Shakespeare,26766
"Henri VI, Vol. 3 of 3",William Shakespeare,26765
"Henri VI, Vol. 2 of 3",William Shakespeare,26764
"Henri VI, Vol. 1 of 3",William Shakespeare,26763
Henri V,William Shakespeare,26762
Cerebrum,Albert Teichner,26761
Memories of Bethany,John Ross Macduff,26760
La vie et la mort du roi Richard III,William Shakespeare,26759
La plainte d\'une amante,William Shakespeare,26758
La mort de Lucrèce,William Shakespeare,26757
Espasmo,Federico De Roberto,26756
Cornwall\'s Wonderland,Mabel Quiller-Couch,26755
One Thousand Secrets of Wise and Rich Men Revealed,C. A. Bogardus,26754
"Notes and Queries, Number 183, April 30, 1853",Various,26753
The Way To Geometry,Peter Ramus,26752
Cully,Jack Egan,26751
Memorial Address on the Life and Character of Abraham                    26750\r\n Lincoln,George Bancroft,NaN
"La rêverie esthétique; essai sur la psychologie du poète,                26749\r\",Paul Souriau,NaN
Huan Zhong You,Yanxia Zhuren,26748
"Reminiscences of two years with the colored troops,                      26747\r\",Joshua M. Addeman,NaN
Fen Gan Yu Hua,Shizhen Wang,26746
"Travels in Peru, on the Coast, in the Sierra, Across the                 26745\r\n Cordilleras and the Andes, into the Primeval Forests,\r\",J. J. von Tschudi,NaN
A Retrospect,James Hudson Taylor,26744
The Putnam Tradition,Sonya Hess Dorman,26743
The Chautauqua Girls At Home,"Pansy,",26742
I\'m a Stranger Here Myself,Dallas McCord Reynolds,26741
The Picture of Dorian Gray,Oscar Wilde,26740
Xue Yue Mei Chuan,Chen Lang,26739
Hua Tu Yuan,Tianhua Zang Zhuren,26738
You Gui Ji,Shi Hui,26737
Stories of Many Lands,Grace Greenwood,26736
"Stories & Legends of Travel and History, for Children,                   26735\r\",Grace Greenwood,NaN
Charles I,Jacob Abbott,26734
More Trivia,Logan Pearsall Smith,26733
Free Air,Sinclair Lewis,26732
Antigoni,Sophocles,26731
"Turandot, Princess of China",Karl Gustav Vollmoller,26730
Er Ke Pai An Jing Qi,Meng-Chu Ling,26729
Aunt Jane of Kentucky,Eliza Calvert Hall,26728
"The Political History of England, Vol. XI",,26727
Pascal,John Tulloch,26726
Two Little Confederates,Thomas Nelson Page,26725
Tarinoita Kalifornian kultamailta,Bret Harte,26724
A Little Maid of Ticonderoga,Alice Turner Curtis,26723
DIR,Heinrich Vogeler,26722
Souvenirs d\'une actrice (3/3),Louise Fusil,26721
Souvenirs d\'une actrice (2/3),Louise Fusil,26720
An Anarchist Woman,Hutchins Hapgood,26719
Health on the Farm,H. F. Harris,26718
I suicidi di Parigi,Ferdinando Petruccelli della Gattina,26717
The Crown of Wild Olive,John Ruskin,26716
Victorian Songs,Various,26715
The Captain\'s Bunk,M. B. Manwell,26714
Norman Ten Hundred,A. Stanley Blicq,26713
"Bulletin de Lille, 1916.08",Anonymous,26712
Jewish Fairy Tales and Legends,Gertrude Landa,26711
Les épaves de Charles Baudelaire,Charles Baudelaire,26710
"Lord, Teach Us To Pray",Andrew Murray,26709
"Punch, Vol. 104, May 13, 1893, ed",Sir Francis Burnand,26708
Wanderings in the Orient,Albert M. Reese,26707
Manual of Military Training,James A. Moss,26706
The Caravan Route between Egypt and Syria,Ludwig Salvator,26705
A Woman at Bay,Nicholas Carter,26704
The Children\'s Book of Celebrated Pictures,Lorinda Munson Bryant,26703
Studies in love and in terror,Marie Belloc Lowndes,26702
Illustrazione delle medaglie dei dogi di Venezia denominate              26701\r\n Oselle,Leonardo Manin,NaN
Saronia,Richard Short,26700
The Woman and the Right to Vote,Rafael Palma,26699
Privy Seal,Ford Madox Ford,26698
Principles of Mining,Herbert C. Hoover,26697
Spaens Heydinnetie,Jacob Cats,26696
Make or Break,Oliver Optic,26695
Der heilige Bürokrazius,Rudolf Greinz,26694
"Punch, Vol. 147, August 26th, 1914, ed",Sir Owen Seaman,26693
A Daughter of Raasay,William MacLeod Raine,26692
Sanctification,J. W. Byers,26691
The Pirates of Panama,John Exquemeling,26690
Tyttö Helgolannista,Gustav Nieritz,26689
"History, Manners, and Customs of the North American Indians,             26688\r\",George Mogridge,NaN
Black Spirits and White,Ralph Adams Cram,26687
Unterm Birnbaum,Theodor Fontane,26686
Aphrodite,Pierre Louys,26685
Piracy off the Florida Coast and Elsewhere,Samuel A. Green,26684
The Girl Wanted,Nixon Waterman,26683
"Donahoe\'s Magazine, Volume 15, No. 2, February 1886",Various,26682
L\'Eve Future,"Auguste, comte de Villiers de L\'Isle-Adam",26681
Relation du groenland,Isaac de La Peyrère,26680
"Wit and Mirth: or Pills to Purge Melancholy, Vol. 5 of 6",Various,26679
A Village of Vagabonds,F. Berkeley Smith,26678
Athelstane Ford,Allen Upward,26677
Diffinição da sécia,Anonymous,26676
The Masque of the Elements,Herman Scheffauer,26675
The Life and Times of John Wilkins,Patrick A. Wright-Henderson,26674
At the Sign of the Jack O\'Lantern,Myrtle Reed,26673
"Bookbinding, and the Care of Books",Douglas Cockerell,26672
The Boy Crusaders,John G. Edgar,26671
Making a Fireplace,Henry H. Saylor,26670
"The Strange Adventures of Captain Dangerous, Vol. 3 of 3,                26669\r\",George Augustus Sala,NaN
"The Strange Adventures of Captain Dangerous, Vol. 2 of 3,                26668\r\",George Augustus Sala,NaN
"The Strange Adventures of Captain Dangerous, Vol. 1 of 3,                26667\r\",George Augustus Sala,NaN
The Light Shines in Darkness,Leo Tolstoy,26666
The Cause of it All,Leo Tolstoy,26665
The Live Corpse,Leo Tolstoy,26664
Fruits of Culture,Leo Tolstoy,26663
The First Distiller,Leo Tolstoy,26662
The Power of Darkness,Leo Tolstoy,26661
"Plays, Complete Edition, Including the Posthumous                        26660\r\n Plays",Leo tolstoy,NaN
"The Will to Believe, and Other Essays in Popular Philosophy,             26659\r\",William James,NaN
"Celebrated Travels and Travellers, Part 3",Jules Verne,26658
The Motor Pirate,George Sidney Paternoster,26657
Birds Illustrate,"Color Photography [August, 1897],",NaN
