The Works of Robert Louis Stevenson,Robert Louis Stevenson,30393,http://www.gutenberg.org/files/30393/30393.txt
A Christmas Carol,Charles Dickens,30368,http://www.gutenberg.org/files/30368/30368.txt
A Critic in Pall Mall,Oscar Wilde,30191,http://www.gutenberg.org/files/30191/30191.txt
Die Abenteuer Tom Sawyers,Mark Twain,30165,http://www.gutenberg.org/cache/epub/30165/pg30165.txt
The Happy Prince and Other Tales,Oscar Wilde,30120,http://www.gutenberg.org/files/30120/30120.txt
"The Wings of the Dove, Volume II",Henry James,30059,http://www.gutenberg.org/files/30059/30059.txt
The Hunting of the Snark,Lewis Carroll,29888,http://www.gutenberg.org/files/29888/29888.txt
"The Wings of the Dove, Volume 1 of 2",Henry James,29452,http://www.gutenberg.org/files/29452/29452.txt
The Gods of Mars,Edgar Rice Burroughs,29405,http://www.gutenberg.org/files/29405/29405.txt
Etienne Gerards Bedrifter,Arthur Conan Doyle,29392,http://www.gutenberg.org/cache/epub/29392/pg29392.txt
Salome en Een Florentijnsch Treurspel,Oscar Wilde,29208,http://www.gutenberg.org/cache/epub/29208/pg29208.txt
Histoire de Pierre Lapin,Beatrix Potter,29052,http://www.gutenberg.org/files/29052/29052-0.txt
A Tangled Tale,Lewis Carroll,29042,http://www.gutenberg.org/files/29042/29042.txt
Alice's Adventures in Wonderland,Lewis Carroll,28885,http://www.gutenberg.org/files/28885/28885.txt
The Works Of Mark Twain,Mark Twain,28803,http://www.gutenberg.org/files/28803/28803.txt
A Child's Garden of Verses,Robert Louis Stevenson,28722,http://www.gutenberg.org/files/28722/28722.txt
Symbolic Logic,Lewis Carroll,28696,http://www.gutenberg.org/files/28696/28696.txt
Tales of the Fish Patrol,Jack London,28693,http://www.gutenberg.org/files/28693/28693.txt
Een Kerstlied in Proza,Charles Dickens,28560,http://www.gutenberg.org/cache/epub/28560/pg28560.txt
Le avventure d'Alice nel paese delle meraviglie,Lewis Carroll,28371,http://www.gutenberg.org/cache/epub/28371/pg28371.txt
