year,has,have
1959,0.0018831868988594838,0.002867594627397401
1960,0.001881226830716644,0.002855629626927631
1961,0.0018800428037398628,0.0028437149178768906
1962,0.0018813340658588068,0.0028392642603388856
1963,0.0018855431948655418,0.0028372046737266438
1964,0.001879825522857053,0.0028290550357529093
1965,0.0018779457979170339,0.002827756605776293
1966,0.0018761094792612962,0.0028308844193816185
1967,0.0018789289585713828,0.0028452648049486534
1968,0.0018788735448781932,0.002853560993181808
1969,0.0018788213242909738,0.002858320251107216
1970,0.0018784787472603576,0.0028614123751010212
1971,0.00187831959088466,0.0028646006914121763
1972,0.0018745631012799485,0.002853238788832511
1973,0.0018675816577992269,0.0028435064679277794
1974,0.0018552858216155852,0.0028231530117669274
1975,0.0018412853491359524,0.0028106922483337776
1976,0.0018274003939170922,0.002792697599423783
1977,0.0018114411671246802,0.002781669476202556
1978,0.0017935410308252489,0.0027707266355199473
1979,0.0017778569433305944,0.0027657392035637584
1980,0.0017673825412722571,0.0027592432618673357
1981,0.0017570525939975465,0.0027545521567974773
1982,0.001746712501959077,0.002747729720015611
1983,0.0017361286861289824,0.0027439241696681294
1984,0.001729256523373936,0.0027419586133744034
1985,0.0017241851227091892,0.002740946365520358
1986,0.0017175153729372791,0.002737102664208838
1987,0.0017088798506717598,0.0027327945322862695
1988,0.0016972046411995376,0.0027322962414473295
1989,0.0016903251110176956,0.002732476286057915
1990,0.0016801392859114067,0.0027303889260760377
1991,0.001668495192591633,0.0027259298866348608
1992,0.0016570037696510553,0.0027226605119981934
1993,0.0016483348195574113,0.0027231646236032248
1994,0.001639775898573654,0.002723180589133075
1995,0.0016350291303492018,0.0027228152778531823
1996,0.0016271621654076235,0.0027226952702871393
1997,0.0016206644608506135,0.002726575792101877
1998,0.0016187157404298584,0.002729015968119105
1999,0.0016180197009816766,0.0027323242742568255
2000,0.0016137744532898068,0.002733034489210695
